strainID,major_serovar,serovar,serovar:colour,host,host:colour,h_material,h_material:colour,f_material,f_material:colour,a_material,a_material:colour,any_ESBL_AmpC,any_ESBL_AmpC:color,Fosfomycin_gene,Fosfomycin_gene:colour,tet_gene,tet_gene:colour,Trimethoprim_gene,Trimethoprim_gene:colour,Kanamycin_gene,Kanamycin_gene:colour,Macrolide_gene,Macrolide_gene:colour,Fosfomycin_gene_for_mosaic_fig,tet_gene_for_fig,Trimethoprim_gene_for_fig,Kanamycin_gene_for_fig
2111068,Schwarzengrund,Schwarzengrund,#E60012,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111069,O4:i:-,O4:i:-,#009944,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(B),#ADFF2F,None,#CCCCCC,aph(3')-Ia^,#00965C,None,#CCCCCC,,tet(B),,aph(3')-Ia
2111070,Saintpaul,Saintpaul,#0068B7,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111071,O4:i:-,O4:i:-,#009944,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111072,O4:i:-,O4:i:-,#009944,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(B),#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,tet(B),,
2111073,Infantis,Infantis,#F39800,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,tet(A),,
2111074,Typhimurium,Typhimurium,#00A0E9,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(G),#FF0080,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,tet(G),,
2111075,Infantis,Infantis,#F39800,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111076,Others,Litchfield,#BA79B1,human,#FF0000,h_others,#530000,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111077,Others,Anatum,#CFA7CD,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111078,Manhattan,Manhattan,#8FC31F,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,tet(A),,
2111079,O4:i:-,O4:i:-,#009944,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(B),#ADFF2F,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,tet(B),,
2111080,Others,Brandenburg,#FCD7A1,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111081,Manhattan,Manhattan,#8FC31F,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,tet(A),,
2111082,Schwarzengrund,Schwarzengrund,#E60012,human,#FF0000,h_others,#530000,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC,,,dfrA14,aph(3')-Ia
2111083,Others,Aberdeen,#000000,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111084,O4:i:-,O4:i:-,#009944,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111085,Saintpaul,Saintpaul,#0068B7,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111086,Others,UT,#E5E5E5,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
2111087,Enteritidis,Enteritidis,#FFF100,human,#FF0000,h_stool,#E60012,None,#CCCCCC,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC,,,,
