isolateID,ST,ST:colour,Geography,Geography:colour,Source,Source:colour,Human,Human:colour,Food,Food:colour,Animal,Animal:colour,ESBL_AmpC,ESBL_AmpC:color,Fosfomycin_gene,Fosfomycin_gene:colour,tet_gene,tet_gene:colour,Trimethoprim_gene,Trimethoprim_gene:colour,Kanamycin_gene,Kanamycin_gene:colour,Macrolide_gene,Macrolide_gene:colour
2212111,ST241,#003F5C,Japan,#5E4FA2,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
R1-S-C-140,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
2212039,others,#7F7F7F,Japan,#5E4FA2,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,None,#CCCCCC,None,#CCCCCC,None,#CCCCCC
2212107,ST241,#003F5C,Japan,#5E4FA2,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
2112088,ST241,#003F5C,Japan,#5E4FA2,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
2212033,ST241,#003F5C,Japan,#5E4FA2,food,#00FF00,None,#CCCCCC,f_domestic chicken,#00FF00,None,#CCCCCC,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
R2-S-C-128,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
R1-S-C-110,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
R1-S-C-147,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
R1-S-C-160,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
R2-S-C-130,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
R1-S-C-156,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
30-Sal-C-58-1-1-68,ST241,#003F5C,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
30-Sal-C-18-2-1-17,others,#7F7F7F,Japan,#5E4FA2,animal,#0023E9,None,#CCCCCC,None,#CCCCCC,a_cecal stool,#0023E9,0,#CCCCCC,None,#CCCCCC,tet(A),#67991C,dfrA14,#125699,aph(3')-Ia,#00965C,None,#CCCCCC
